"|","||","||__weightedAverage","||__max","||__min","||__stddev","||__median","||__volume","||__orderCount","||__percentile"
"","sell","16961.1497831","23000.0","12500.0","2953.67713459","17090.0","212040.0","26","12572.7098661"
"9838","buy","6656.04490692","6801.0","6000.0","340.663323532","6401.0","66983.0","5","6800.42995984"
"","sell","8201.32566354","7986000.0","7391.0","1432468.64557","7794.0","321043.0","31","7393.01328794"
"2312","buy","8705.26261732","9116.0","7126.0","857.139011896","9100.0","85874.0","7","9116.0"
"","sell","10667.313519","13000.0","9499.0","1160.35702315","10530.0","220379.0","29","9499.0"
"3691","buy","6500.0","6500.0","6500.0","0.01","6500.0","55443.0","1","6500.0"
"","sell","8174.25702832","18500.0","6690.0","2036.07618724","7750.0","573964.0","30","6690.0"
"2319","buy","5654.72450979","5700.0","5607.0","65.7609306503","5653.5","93379.0","2","5700.0"
"","sell","9240.84757982","14000.0","6249.0","2468.09376324","8327.5","569544.0","74","6249.88587361"
"9840","buy","7021.26502325","7500.0","6600.0","377.713736402","7101.0","113990.0","4","7500.0"
"","sell","12354.8621997","25000.0","8995.0","2751.89748519","10595.0","993539.0","66","8996.80735532"
"3775","buy","6442.6647765","9702.0","6100.0","2546.99862583","7901.0","33154.0","2","9702.0"
"","sell","12908.6793436","20000.0","10950.0","2313.08707032","12580.0","368491.0","27","10956.8300718"
"2328","buy","4509.0","4509.0","4509.0","0.01","4509.0","48780.0","1","4509.0"
"","sell","6227.73105236","7000.0","5420.0","430.779770331","6252.0","285814.0","20","5420.0"
"2358","buy","55123.319573","56960.0","55000.0","1385.92929113","55980.0","14050.0","2","56960.0"
"","sell","88728.4583699","119700.0","79300.0","10183.822546","89415.0","44427.0","44","79300.0"
"2345","buy","51090.0","51090.0","51090.0","0.01","51090.0","2208.0","1","51090.0"
"","sell","80038.5445159","120600.0","67900.0","14687.6720018","73000.0","47455.0","27","67903.5191234"
"2344","buy","30614.5412579","35000.0","28000.0","3511.88458428","32000.0","8665.0","3","35000.0"
"","sell","62288.9867398","86240.0","46000.0","10376.0870282","61800.0","85368.0","35","49620.4666854"
"2367","buy","87128.4262747","88130.0","127.0","43473.5324719","86520.0","10885.0","4","88130.0"
"","sell","110369.981712","149400.0","99970.0","9512.55478407","105100.0","177163.0","47","100255.447243"
"17392","buy","60169.4756911","63220.0","60020.0","2262.7416998","61620.0","1049.0","2","63009.5138227"
"","sell","79462.8666915","89800.0","67000.0","6894.03425131","76000.0","77797.0","37","67909.8474234"
"2348","buy","89113.3048653","92490.0","128.8","28230.5061522","88565.0","18149.0","10","92490.0"
"","sell","108041.935159","119900.0","100000.0","5649.56285523","108300.0","178528.0","38","100206.396756"
"9834","buy","24684.4637132","45130.0","875.0","20867.2332358","38310.0","3431.0","4","45130.0"
"","sell","169536.995102","195600.0","58680.0","18446.6745849","69500.0","2118458.0","69","59649.3544833"
"2366","buy","57993.8642617","65990.0","57520.0","5989.19443665","61755.0","9813.0","2","65990.0"
"","sell","79476.0994774","84970.0","71940.0","5387.23730082","76000.0","52052.0","17","72361.4308768"
"2361","buy","75856.8402213","77310.0","75320.0","996.744701516","76235.0","3073.0","4","77310.0"
"","sell","95733.341026","102000.0","88850.0","3725.96166712","93425.0","68030.0","30","88869.02396"
"17898","buy","30404.7431499","31020.0","999.9","21227.4162819","16009.95","48744.0","2","31020.0"
"","sell","91020.1058093","114900.0","75880.0","11273.2933997","95965.0","63605.0","42","75886.6512067"
"2360","buy","0","0","0","0","0","0","0","0"
"","sell","48196.6602447","100000.0","30000.0","16612.82874","45975.0","72667.0","42","37599.9182573"
"2354","buy","64821.8347025","68000.0","46430.0","9800.62370464","64650.0","12051.0","4","68000.0"
